version #2.2	版本 #2.2
EGA version - second release	EGA 版本 - 第二次发行版
Final Version release	最后 版本 发行版
Modified version cooperating with 64kB RAM	修改 版本 cooperating with 64kB RAM
Series 5 Version D	系列 5 版本 D
shareware version - Mr. Disk release	shareware 版本 - Mr. Disk release
Software Projects - Version 2	Software Projects - 版本 2
Software Projects -Version 1	Software Projects -版本 1

Tandy version 02.11.24	Tandy 版本 02.11.24
Tandy version 03.20.21	Tandy 版本 03.20.21
Tandy Version 03.30.20	Tandy 版本 03.30.20
Tandy version 3.30.22	Tandy 版本 3.30.22
v.0.01 - V Version - Hack Level 12	v.0.01 - V 版本 - Hack Level 12
v.0.01 - W Version - Hack Level 12	v.0.01 - W 版本 - Hack Level 12
v.0.01 - X Version - Hack Level 12	v.0.01 - X 版本 - Hack Level 12
v.0.01 - Y Version - Hack Level 12	v.0.01 - Y 版本 - Hack Level 12
v.0.01 - YY Version - Hack Level 12	v.0.01 - YY 版本 - Hack Level 12
v.0.01 - Z Version - Hack Level 12	v.0.01 - Z 版本 - Hack Level 12
	
$A000 version	$A000 版本
+2 version	+2 版本
08.31.86 Version	08.31.86 版本
128 Version	128 版本
128K version	128K 版本
128k version	128k 版本
16-color version	16-color 版本
16k version	16k 版本
1980 Version	1980 版本
1980 version	1980 版本
1981 Version	1981 版本
1981-06-22 Version	1981-06-22 版本
1982 Version	1982 版本
1983 Version	1983 版本
1983 version	1983 版本
1984 Version	1984 版本
1985 Version	1985 版本
1986-10-27 Version	1986-10-27 版本
1987 Version	1987 版本
1988 Version	1988 版本
1989 Version	1989 版本
1994 version	1994 版本
2 disks version	2 disks 版本
2 Version	2 版本
20-Column Version	20-Column 版本
256-color version	256-色 版本
26-AUG-1990 Version	26-AUG-1990 版本
27-JUN-1989 Version	27-JUN-1989 版本
2DD version	2DD 版本
2HD version	2HD 版本
30-JUN-1989 Version	30-JUN-1989 版本
32k version	32k 版本
40 column version	40 column 版本
464 version	464 版本
48k version	48k 版本
6128 version	6128 版本
64K version	64K 版本
64K Version	64K 版本
80 column version	80 column 版本
8021 version	8021 版本
8050 Version	8050 版本
Advanced Pinball Simulator Lightgun Version	Advanced Pinball Simulator Lightgun 版本
All Star Version	全明星 版本
amended version	修订 版本
Amsoft Version	Amsoft 版本
ArchiMENdes Hen Version	ArchiMENdes Hen 版本
ARP version	ARP 版本
BASIC version	BASIC 版本
bear version	bear 版本
Black version	黑 版本
blue version	蓝 版本
Bonus Version	Bonus 版本
bootleg of CD version	CD 版本 的 盗版
Budget Sierra Originals Version	Budget Sierra Originals 版本
Bunka Housou Special Version	Bunka Housou Special 版本
C04 version	C04 版本
Cassette Version	Cassette 版本
cassettte version	cassettte 版本
CBS Version	CBS 版本
cheat version	作弊 版本
Cless Version	Cless 版本
CoCo 3 Version	CoCo 3 版本
colour version	colour 版本
console version	console 版本
cpm version	cpm 版本
customised version	customised 版本
debugged version	debugged 版本
Development Version	Development 版本
Disk Version	Disk 版本
disk version	disk 版本
DOS 3.3 Version	DOS 3.3 版本
download version	download 版本
Dual drive version	Dual drive 版本
earlier version	早期 版本
Early Version	早期 版本
easy version	简单 版本
EGA 16 colors version	EGA 16 色 版本
EGA version	EGA 版本
English version	英语 版本
Enhanced Version	加强 版本
extended version	扩展 版本
Fast Load Version	快速加载 版本
Fast Version	快速 版本
female version	女性 版本
final cassette version	final cassette 版本
Final Version	最终 版本
	
first version	第一版
fixed version	修正 版本
Flashload Version	Flashload 版本
FM Towns Marty version	FM Towns Marty 版本
French retail version	French retail 版本
graphic menu version	图形菜单 版本
Gravis Ultrasound version	Gravis Ultrasound 版本
Green Cherry version	Green Cherry 版本
GunStick version	GunStick 版本
Hard Disk Version	Hard Disk 版本
hard version	hard 版本
Includes MO6 Version	Includes MO6 版本
Infogrames Version	Infogrames 版本
initial version	initial 版本
Interface 2 Version	Interface 2 版本
Java Tea Original version	Java Tea Original 版本
Jocky Scott Version	Jocky Scott 版本
later version	later 版本
Light Phaser version	Light Phaser 版本
Lite Version	轻 版本
LOGiN version	LOGiN 版本
Login Version	Login 版本
Lupin + Fujiko Version	Lupin + Fujiko 版本
Lupin + Jigen + Goemon Version	Lupin + Jigen + Goemon 版本
male version	男性 版本
man version	男性 版本
Microdrive Transfer Version	Microdrive Transfer 版本
mkII version	mkII 版本
Music Version	音乐 版本
